#тип; название модели; год выпуска;  кол-во передач; страна производитель
"auto";"Mitsubishi Space Runner";1991;6;"Нидерланды"
"auto";"Ford Festiva";1993;5;"Республика Корея"
"auto";"Nissan Micra";1993;5;"Япония"
"auto";"Fiat 8V";1952;4;"Италия"
"auto";"Tatra 97";508;4;"Чехия"
"auto";"Chevrolet Caprice";2010;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Grandis";2003;6;"Соединённые Штаты Америки"
"auto";"Chevrolet Avalanche";2006;6;"Соединённые Штаты Америки"
"auto";"Maybach 57 / 62";2002;5;"Германия"
"auto";"Mitsubishi Eclipse";1995;6;"Австралия"
"auto";"Mitsubishi Outlander";2001;6;"Австралия"
"auto";"Hudson Hornet";1955;3;"Соединённые Штаты Америки"
"auto";"Mitsubishi Galant";1976;5;"Таиланд"
"auto";"Nissan Skyline";1972;7;"Япония"
"auto";"Tata Safari";1998;5;"Индия"
"auto";"Dodge Challenger";1978;6;"Таиланд"
"auto";"Fiat 1";1908;4;"Италия"
"auto";"Nissan Sunny";1983;5;"Япония"
"auto";"Nissan Pathfinder";1986;7;"Япония"
"auto";"Nissan Fuga";2009;7;"Япония"
"auto";"Isuzu Trooper";1981;5;"Япония"
"auto";"Daewoo Damas";1969;5;"Индия"
"auto";"Nissan Sentra";2000;6;"Япония"
"auto";"Subaru BRZ";2012;6;"Япония"
"auto";"Porsche 993";1995;5;"Германия"
"auto";"Nissan Fuga";2004;7;"Япония"
"auto";"Nissan Murano";2007;6;"Япония"
"auto";"Porsche 996";1998;6;"Германия"
"auto";"Mitsubishi Grandis";2016;6;"Китайская Республика"
"auto";"Mitsubishi Mirage";1983;5;"Нидерланды"
"auto";"Nissan Micra";1993;5;"Япония"
"auto";"Mitsubishi Galant";1987;5;"Филиппины"
"auto";"Mitsubishi Space Runner";1991;6;"Соединённые Штаты Америки"
"auto";"Lancia Musa";2004;6;"Италия"
"auto";"Fiat 512";1926;4;"Италия"
"auto";"Mini";1959;5;"Италия"
"auto";"Renault Logan";2004;5;"Румыния"
"auto";"Tatra 77";1934;4;"Чехия"
"auto";"Mitsubishi Lancer";2000;6;"Австралия"
"auto";"Nissan Skyline";1999;7;"Япония"
"auto";"Mitsubishi Galant";2003;5;"Нидерланды"
"auto";"Nissan 350Z";2004;6;"Япония"
"auto";"Nissan Micra";1982;5;"Япония"
"auto";"Dodge Challenger";1970;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Galant";1969;5;"Нидерланды"
"auto";"Mitsubishi Pajero";2006;5;"Австралия"
"auto";"Mitsubishi Space Runner";1997;6;"Нидерланды"
"auto";"Nissan Gloria";1999;5;"Япония"
"auto";"Chevrolet Avalanche";2002;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Eclipse";1995;6;"Филиппины"
"auto";"Nissan Micra";1992;5;"Япония"
"auto";"Nissan Pulsar GTI-R";1990;5;"Япония"
"auto";"Peugeot 4007";2007;6;"Франция"
"auto";"Mitsubishi 3000GT";1990;6;"Филиппины"
"auto";"Ford Anglia";1962;3;"Эссекс"
"auto";"Ford Capri";1974;4;"Великобритания"
"auto";"Nissan Gloria";1959;5;"Япония"
"auto";"Mitsubishi Diamante";1990;5;"Таиланд"
"auto";"Porsche 968";1992;6;"Германия"
"auto";"Nissan Sunny";1981;5;"Япония"
"auto";"Acura MDX";2006;6;"Япония"
"auto";"Suzuki Wagon R";1993;5;"Индия"
"auto";"Nissan Pathfinder";1996;7;"Япония"
"auto";"Nissan Cedric";1983;5;"Япония"
"auto";"Mitsubishi Mirage";1988;5;"Нидерланды"
"auto";"Mitsubishi Galant";1969;5;"Австралия"
"auto";"Mitsubishi Mirage";1978;5;"Таиланд"
"auto";"Москвич-400";1947;3;"Россия"
"auto";"Mercedes-Benz Sprinter";2007;6;"Германия"
"auto";"Nissan Cedric";1983;5;"Япония"
"auto";"Nissan Cedric";1965;5;"Япония"
"auto";"Ford Anglia";1949;3;"Англия"
"auto";"Mini";1996;5;"Италия"
"auto";"Mitsubishi Eclipse";1989;6;"Соединённые Штаты Америки"
"auto";"Nissan Cefiro";1994;5;"Япония"
"auto";"Nissan S30";1975;5;"Япония"
"auto";"Renault Logan";2005;5;"Румыния"
"auto";"Mitsubishi Mirage";1985;5;"Нидерланды"
"auto";"Jeep CJ";1945;5;"Соединённые Штаты Америки"
"auto";"Chrysler Voyager";1991;5;"Германия"
"auto";"Nissan Sentra";2000;6;"Япония"
"auto";"Porsche 993";1995;5;"Германия"
"auto";"Fiat Tipo";1988;5;"Италия"
"auto";"Mitsubishi Delica";1968;5;"Соединённые Штаты Америки"
"auto";"Nissan Cedric";1987;5;"Япония"
"auto";"Ford Consul";1972;4;"Англия"
"auto";"Jeep CJ";45;5;"Нидерланды"
"auto";"Nissan Gloria";1987;5;"Япония"
"auto";"Ford Consul";1956;4;"Великобритания"
"auto";"Dodge Challenger";2008;6;"Филиппины"
"auto";"Kia Sportage";2010;6;"Республика Корея"
"auto";"Fiat 128";1969;4;"Италия"
"auto";"Dodge Super Bee";1970;4;"Германия"
"auto";"Nissan Bluebird Sylphy";2006;6;"Япония"
"auto";"Nissan Cedric";1960;5;"Япония"
"auto";"Nissan Skyline";1999;7;"Япония"
"auto";"Mitsubishi Lancer";2000;6;"Филиппины"
"auto";"Nissan Skyline";1993;7;"Япония"
"auto";"Isuzu Piazza";1980;5;"Япония"
"auto";"Mitsubishi Galant";1996;5;"Таиланд"
"auto";"Mitsubishi Mirage";1988;5;"Австралия"
"auto";"Mitsubishi L200";1987;5;"Нидерланды"
"auto";"ГАЗ-63";1948;4;"Россия"
"auto";"Cadillac Eldorado";1952;4;"Соединённые Штаты Америки"
"auto";"Mitsubishi Lancer Evolution";1992;6;"Нидерланды"
"auto";"Mitsubishi Mirage";1995;5;"Австралия"
"auto";"Porsche 911 Classic";1964;5;"Германия"
"auto";"Ford Capri";1978;4;"Англия"
"auto";"Nissan Sunny";1978;5;"Япония"
"auto";"Mitsubishi Galant";1983;5;"Нидерланды"
"auto";"Fiat 510";1920;4;"Италия"
"auto";"De Tomaso Guarà";1993;6;"Италия"
"auto";"Mercedes-Benz Sprinter";1996;6;"Германия"
"auto";"Jeep CJ";1953;5;"Нидерланды"
"auto";"Mitsubishi Lancer";1979;6;"Соединённые Штаты Америки"
"auto";"Subaru Legacy (третье поколение)";1999;5;"Япония"
"auto";"Nissan S30";1970;5;"Япония"
"auto";"Mitsubishi Galant";1996;5;"Нидерланды"
"auto";"Jeep CJ";1981;5;"Нидерланды"
"auto";"Pontiac GTO";1974;6;"Австралия"
"auto";"Cadillac SRX";2004;6;"Соединённые Штаты Америки"
"auto";"Volkswagen Beetle (A5)";2011;6;"Германия"
"auto";"Hudson Hornet";1951;3;"Соединённые Штаты Америки"
"auto";"Ford Anglia";1953;3;"Эссекс"
"auto";"Peugeot 4007";2007;6;"Франция"
"auto";"Porsche Cayenne";2002;6;"Германия"
"auto";"Cadillac Series 62";1939;4;"Соединённые Штаты Америки"
"auto";"Fiat Croma";1985;6;"Италия"
"auto";"Infiniti FX";2002;7;"Япония"
"auto";"Fiat Uno";1992;5;"Италия"
"auto";"Chrysler Voyager";2001;5;"Германия"
"auto";"Nissan Cedric";1976;5;"Япония"
"auto";"Porsche 997";2004;7;"Германия"
"auto";"Mitsubishi L200";1996;5;"Австралия"
"auto";"Bentley Continental Flying Spur";2005;8;"Германия"
"auto";"Jeep CJ";1976;5;"Нидерланды"
"auto";"Fiat Croma";2005;6;"Италия"
"auto";"Cadillac Eldorado";1967;4;"Соединённые Штаты Америки"
"auto";"Nissan Pathfinder";2012;7;"Япония"
"auto";"Kia Carens";2002;6;"Республика Корея"
"auto";"Nissan Sentra";1982;6;"Япония"
"auto";"Nissan Cedric";1987;5;"Япония"
"auto";"Runna";2012;5;"Иран"
"auto";"Chevrolet Aveo";2011;6;"Соединённые Штаты Америки"
"auto";"Nissan S30";1974;5;"Япония"
"auto";"Facel Vega Excellence";1961;4;"Франция"
"auto";"Porsche Cayman";2005;7;"Германия"
"auto";"Dodge Challenger";1978;6;"Австралия"
"auto";"Fiat 3;5 HP";1899;3;"Италия"
"auto";"Nissan Gloria";1959;5;"Япония"
"auto";"Mitsubishi Diamante";1990;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Endeavor";2002;4;"Соединённые Штаты Америки"
"auto";"Nissan Bluebird Sylphy";2012;6;"Япония"
"auto";"Jeep Compass";2006;6;"Германия"
"auto";"Daewoo Damas";1993;5;"Индия"
"auto";"Nissan S30";1975;5;"Япония"
"auto";"Nissan Altima Hybrid";2006;6;"Япония"
"auto";"Ford Capri";1978;4;"Великобритания"
"auto";"Jeep CJ";1954;5;"Таиланд"
"auto";"Nissan Cedric";1987;5;"Япония"
"auto";"Nissan President";1965;5;"Япония"
"auto";"Mini";1984;5;"Италия"
"auto";"Mitsubishi L200";1996;5;"Таиланд"
"auto";"Volvo 700 Series";1984;5;"Швеция"
"auto";"Chrysler Voyager";2008;5;"Германия"
"auto";"Chevrolet Colorado";2012;6;"Соединённые Штаты Америки"
"auto";"Porsche 911 Classic";1964;5;"Германия"
"auto";"Mitsubishi Mirage";1987;5;"Соединённые Штаты Америки"
"auto";"Suzuki XL-7";2007;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Delica";1968;5;"Нидерланды"
"auto";"Nissan Gloria";1975;5;"Япония"
"auto";"Kia Sorento";2007;6;"Республика Корея"
"auto";"Mitsubishi Galant";1983;5;"Австралия"
"auto";"Mitsubishi Galant";1973;5;"Таиланд"
"auto";"Pontiac Trans Sport";1997;5;"Соединённые Штаты Америки"
"auto";"Fiat Multipla";1998;5;"Италия"
"auto";"Nissan Skyline";1972;7;"Япония"
"auto";"Mitsubishi Galant";1969;5;"Таиланд"
"auto";"Nissan Stanza";1977;5;"Япония"
"auto";"Nissan Skyline";1968;7;"Япония"
"auto";"Ford Capri";1961;4;"Великобритания"
"auto";"Volkswagen Polo";2000;7;"Германия"
"auto";"Nissan Skyline";1989;7;"Япония"
"auto";"Chevrolet Caprice";2011;6;"Соединённые Штаты Америки"
"auto";"Nissan Micra";1993;5;"Япония"
"auto";"Mitsubishi Mirage";1982;5;"Нидерланды"
"auto";"Volvo S80";1998;6;"Швеция"
"auto";"Nissan Silvia";1964;6;"Япония"
"auto";"Nissan X-Trail";2005;6;"Япония"
"auto";"Nissan Stanza";1986;5;"Япония"
"auto";"Renault Koleos";2008;6;"Республика Корея"
"auto";"Chevrolet Tahoe";1995;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Outlander";2012;6;"Нидерланды"
"auto";"Cadillac CTS-V";2009;6;"Соединённые Штаты Америки"
"auto";"Fiat 527";1934;4;"Италия"
"auto";"Peugeot 107";2005;5;"Франция"
"auto";"Oldsmobile 88";1986;4;"Соединённые Штаты Америки"
"auto";"Porsche Cayman";2005;7;"Германия"
"auto";"Jeep CJ";1955;5;"Таиланд"
"auto";"Nissan Juke";2010;6;"Япония"
"auto";"Jeep CJ";1981;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Lancer";1973;6;"Соединённые Штаты Америки"
"auto";"Mitsubishi Lancer";2007;6;"Филиппины"
"auto";"Nissan Cube";2002;6;"Япония"
"auto";"Mitsubishi Outlander";2003;6;"Таиланд"
"auto";"Nissan Laurel";1993;5;"Япония"
"auto";"Nissan Note";2004;5;"Япония"
"auto";"Mercedes-Benz Sprinter";2006;6;"Германия"
"auto";"Mitsubishi Pajero";2006;5;"Соединённые Штаты Америки"
"auto";"Fiat Nuova 500";1957;4;"Италия"
"auto";"Nissan Tiida";2004;6;"Япония"
"auto";"Fiat 8 HP";80;3;"Италия"
"auto";"Mitsubishi Galant";1976;5;"Филиппины"
"auto";"Nissan Silvia";1999;6;"Япония"
"auto";"Nissan Titan";2003;5;"Япония"
"auto";"Fiat 850";1964;4;"Италия"
"auto";"Fiat 503";1926;4;"Италия"
"auto";"Nissan Skyline";1989;7;"Япония"
"auto";"Renault Sandero";2012;5;"Румыния"
"auto";"Infiniti EX";2007;7;"Япония"
"auto";"Nissan Stanza";1982;5;"Япония"
"auto";"Mitsubishi Outlander";2003;6;"Нидерланды"
"auto";"Ford Capri";1989;4;"Великобритания"
"auto";"SEAT Ibiza";1984;7;"Испания"
"auto";"Peugeot 5008";2009;6;"Франция"
"auto";"Dodge Challenger";2008;6;"Соединённые Штаты Америки"
"auto";"Mercedes-Benz SLK-класс";2004;7;"Германия"
"auto";"Nissan Sunny";2006;5;"Япония"
"auto";"Mitsubishi Galant";1983;5;"Таиланд"
"auto";"Mitsubishi Space Runner";1997;6;"Австралия"
"auto";"Jeep CJ";1981;5;"Соединённые Штаты Америки"
"auto";"Volvo PV444 / PV544";1958;4;"Швеция"
"auto";"Tata Safari";1998;5;"Индия"
"auto";"Jeep CJ";1944;5;"Соединённые Штаты Америки"
"auto";"Mini";1976;5;"Италия"
"auto";"Pontiac Fiero";1984;5;"Соединённые Штаты Америки"
"auto";"Chevrolet Tahoe";2000;6;"Соединённые Штаты Америки"
"auto";"Volkswagen Polo";1994;7;"Германия"
"auto";"Nissan Silvia";1975;6;"Япония"
"auto";"Mitsubishi Pajero";1999;5;"Таиланд"
"auto";"Hudson Hornet";1951;3;"Соединённые Штаты Америки"
"auto";"Ford Anglia";1953;3;"Великобритания"
"auto";"Nissan Gloria";1995;5;"Япония"
"auto";"Nissan Gloria";1971;5;"Япония"
"auto";"Mitsubishi Galant";1973;5;"Филиппины"
"auto";"Mitsubishi Eclipse";1989;6;"Филиппины"
"auto";"Kia Sephia";1992;5;"Республика Корея"
"auto";"Jeep CJ";1976;5;"Филиппины"
"auto";"Mitsubishi Mirage";1978;5;"Австралия"
"auto";"Volvo 700 Series";1986;5;"Швеция"
"auto";"Mitsubishi Outlander";2001;6;"Таиланд"
"auto";"Chrysler Voyager";1988;5;"Германия"
"auto";"Facel Vega Excellence";1958;4;"Франция"
"auto";"Mitsubishi 3000GT";1990;6;"Таиланд"
"auto";"Ford Consul";1972;4;"Великобритания"
"auto";"Mitsubishi Lancer";2000;6;"Таиланд"
"auto";"Nissan Sentra";1985;6;"Япония"
"auto";"Mitsubishi Colt";1962;5;"Австралия"
"auto";"SEAT León";2012;7;"Испания"
"auto";"Nissan Tiida";2006;6;"Япония"
"auto";"Renault Logan";2005;5;"Румыния"
"auto";"Mitsubishi Delica";1979;5;"Австралия"
"auto";"Mitsubishi Mirage";1995;5;"Нидерланды"
"auto";"Fiat Albea";2002;5;"Италия"
"auto";"Nissan S30";1974;5;"Япония"
"auto";"Nissan Laurel";1997;5;"Япония"
"auto";"Renault Duster";2010;6;"Румыния"
"auto";"Mitsubishi Galant";1983;5;"Соединённые Штаты Америки"
"auto";"Fiat Punto";2005;6;"Италия"
"auto";"Fiat 509";1924;3;"Италия"
"auto";"Nissan Cedric";1962;5;"Япония"
"auto";"Volkswagen Phaeton";2002;6;"Германия"
"auto";"Volvo C70";2006;6;"Швеция"
"auto";"Nissan Stanza";1986;5;"Япония"
"auto";"Mitsubishi Mirage";1987;5;"Нидерланды"
"auto";"Subaru Pleo";1998;5;"Япония"
"auto";"Porsche Cayenne";2010;6;"Германия"
"auto";"Nissan Murano";2002;6;"Япония"
"auto";"Nissan Cedric";1998;5;"Япония"
"auto";"Mitsubishi Outlander";2005;6;"Австралия"
"auto";"Fiat Uno";2010;5;"Италия"
"auto";"Nissan Bluebird Sylphy";2006;6;"Япония"
"auto";"Fiat 500 (2007)";2007;6;"Италия"
"auto";"Ford Anglia";1962;3;"Великобритания"
"auto";"Jeep Wrangler";1989;6;"Иран"
"auto";"Porsche 997";2004;7;"Германия"
"auto";"Tata Nano";2008;4;"Индия"
"auto";"Mitsubishi Galant";2003;5;"Соединённые Штаты Америки"
"auto";"Dodge Super Bee";2007;4;"Германия"
"auto";"Acura MDX";2001;6;"Япония"
"auto";"Pontiac GTO";1964;6;"Соединённые Штаты Америки"
"auto";"Nissan Caravan Elgrand";2002;5;"Япония"
"auto";"Nissan Cedric";2013;5;"Япония"
"auto";"Nissan Pathfinder";2004;7;"Япония"
"auto";"Cadillac CTS";2002;8;"Соединённые Штаты Америки"
"auto";"Renault Sandero";2012;5;"Румыния"
"auto";"Mitsubishi Eclipse";1995;6;"Соединённые Штаты Америки"
"auto";"Nissan S30";1969;5;"Япония"
"auto";"Fiat Idea";2003;6;"Италия"
"auto";"Ford Capri";1978;4;"Великобритания"
"auto";"Nissan 180SX";1989;5;"Япония"
"auto";"Nissan Stanza";1977;5;"Япония"
"auto";"Volkswagen T1";1981;4;"Германия"
"auto";"Nissan Cube";2002;6;"Япония"
"auto";"Nissan Sunny";2006;5;"Япония"
"auto";"Volkswagen Gol";1980;5;"Германия"
"auto";"Volkswagen Scirocco";2008;7;"Германия"
"auto";"Mitsubishi Galant";1996;5;"Австралия"
"auto";"Nissan Sunny";2010;5;"Япония"
"auto";"Jeep CJ";1944;5;"Австралия"
"auto";"Nissan Sunny";1973;5;"Япония"
"auto";"Nissan 300ZX";1983;5;"Япония"
"auto";"Ford Consul";1951;4;"Великобритания"
"auto";"Nissan S30";1974;5;"Япония"
"auto";"Jeep CJ";45;5;"Филиппины"
"auto";"Suzuki Escudo";1999;5;"Канада"
"auto";"Nissan Skyline";1963;7;"Япония"
"auto";"Cadillac Escalade";1998;6;"Соединённые Штаты Америки"
"auto";"Hudson Jet";1953;3;"Соединённые Штаты Америки"
"auto";"Nissan Sunny";1973;5;"Япония"
"auto";"Volvo XC90";2003;6;"Швеция"
"auto";"Nissan Sunny";1983;5;"Япония"
"auto";"Ford Consul";1951;4;"Великобритания"
"auto";"Mitsubishi Eclipse";2006;6;"Соединённые Штаты Америки"
"auto";"Fiat 502";1923;4;"Италия"
"auto";"Renault Duster";2010;6;"Румыния"
"auto";"Ford Consul";1951;4;"Эссекс"
"auto";"Mitsubishi Mirage";2012;5;"Нидерланды"
"auto";"Dodge Challenger";1978;6;"Филиппины"
"auto";"Mitsubishi Delica";1994;5;"Таиланд"
"auto";"Volvo S80";2003;6;"Швеция"
"auto";"Volvo V70";2007;6;"Швеция"
"auto";"Renault Mégane";1999;6;"Иран"
"auto";"Mitsubishi Colt";2002;5;"Таиланд"
"auto";"Mitsubishi Galant";1973;5;"Соединённые Штаты Америки"
"auto";"Ford Anglia";1962;3;"Англия"
"auto";"Jeep CJ";1954;5;"Филиппины"
"auto";"Volvo P1800";1961;4;"Швеция"
"auto";"Nissan 300ZX";1989;5;"Япония"
"auto";"Jeep CJ";45;5;"Австралия"
"auto";"Mitsubishi Diamante";1995;5;"Нидерланды"
"auto";"Mitsubishi Delica";1968;5;"Австралия"
"auto";"Kia Picanto";2004;5;"Республика Корея"
"auto";"Fiat Brevetti";1905;4;"Италия"
"auto";"Dacia Lodgy";2012;6;"Румыния"
"auto";"Mitsubishi Galant";1987;5;"Австралия"
"auto";"Mitsubishi Delica";1979;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Colt";2002;5;"Филиппины"
"auto";"Peugeot 306";1997;6;"Франция"
"auto";"Peugeot 4008";2012;5;"Франция"
"auto";"Mitsubishi Lancer";1973;6;"Таиланд"
"auto";"Volvo P1900";68;3;"Швеция"
"auto";"Volkswagen Polo";2010;7;"Германия"
"auto";"Mitsubishi Galant";1987;5;"Нидерланды"
"auto";"Mitsubishi Pajero";1999;5;"Австралия"
"auto";"Nissan Bluebird Sylphy";2012;6;"Япония"
"auto";"Nissan Gloria";1995;5;"Япония"
"auto";"Nissan Caravan Elgrand";1997;5;"Япония"
"auto";"Nissan Cube";2009;6;"Япония"
"auto";"SEAT León";1999;7;"Испания"
"auto";"Porsche Boxster";2005;7;"Германия"
"auto";"Nissan Stanza";1990;5;"Япония"
"auto";"Nissan Cedric";1971;5;"Япония"
"auto";"Chevrolet Aveo";2002;6;"Соединённые Штаты Америки"
"auto";"Infiniti FX";2013;7;"Япония"
"auto";"Mitsubishi Space Runner";2010;6;"Филиппины"
"auto";"Chevrolet Captiva";2006;6;"Соединённые Штаты Америки"
"auto";"Nissan Cedric";1960;5;"Япония"
"auto";"Chevrolet SSR";2003;6;"Соединённые Штаты Америки"
"auto";"Tata Indica";1998;5;"Индия"
"auto";"Chevrolet Tahoe";1992;6;"Соединённые Штаты Америки"
"auto";"Porsche 991";2011;7;"Германия"
"auto";"SsangYong Korando";2008;6;"Республика Корея"
"auto";"Jeep CJ";1951;5;"Филиппины"
"auto";"Jeep CJ";1954;5;"Нидерланды"
"auto";"Mitsubishi Pajero";1999;5;"Нидерланды"
"auto";"Nissan President";1990;5;"Япония"
"auto";"Peugeot 306";1999;6;"Франция"
"auto";"Jeep CJ";1953;5;"Таиланд"
"auto";"Pagani Huayra";2012;7;"Италия"
"auto";"Nissan Pulsar GTI-R";1990;5;"Япония"
"auto";"Чайка (автомобиль)";1959;3;"Россия"
"auto";"Ford Capri";1974;4;"Эссекс"
"auto";"Fiat 130";1969;5;"Италия"
"auto";"Oldsmobile 88";1957;4;"Соединённые Штаты Америки"
"auto";"Nissan S30";1969;5;"Япония"
"auto";"Pontiac Firebird";1967;5;"Соединённые Штаты Америки"
"auto";"Nissan Qashqai";2013;6;"Япония"
"auto";"Nissan Skyline";1985;7;"Япония"
"auto";"Cadillac Eldorado";1986;4;"Соединённые Штаты Америки"
"auto";"Mitsubishi Pajero";2006;5;"Филиппины"
"auto";"Mitsubishi Eclipse";1990;6;"Соединённые Штаты Америки"
"auto";"Volvo XC60";2008;6;"Швеция"
"auto";"Mitsubishi Galant";1987;5;"Соединённые Штаты Америки"
"auto";"Nissan Sentra";1991;6;"Япония"
"auto";"Nissan Pathfinder";1985;7;"Япония"
"auto";"Nissan Wingroad";1982.1;5;"Япония"
"auto";"Nissan Figaro";1991;3;"Япония"
"auto";"Renault Samsung SM7";2011;6;"Республика Корея"
"auto";"Nissan Gloria";1987;5;"Япония"
